realcoa,process
매출,매출
매출원가,재고
급여,인사
퇴직급여,인사
복리후생비,인사
기타판관비,구매
지급임차료,자금
감가상각비,고정자산
대손상각비,재무보고
무형자산상각비,고정자산
충당부채전입액,재무보고
경상개발비,재무보고
기타영업외손익,재무보고
투자주식손상차손,재무보고
기타대손상각비,재무보고
기타영업외금융손익,자금
이자수익,자금
이자비용,자금
지분법손익,재무보고
법인세비용,재무보고
현금및현금성자산,자금
단기금융상품,자금
매출채권,매출
대손충당금-매출채권,매출
미수금,자금
미수수익,자금
선급금,재무보고
선급비용,재무보고
당기손익공정가치측정금융자산,자금
재고자산,재고
기타유동금융자산,자금
대여금,자금
기타금융자산,자금
보증금,재무보고
선급법인세,재무보고
기타유동자산,재무보고
당기법인세자산,재무보고
매각예정자산,재무보고
장기금융상품,자금
파생상품금융자산,자금
관계기업투자주식,재무보고
공동기업투자주식,재무보고
종속기업투자주식,재무보고
유형자산,고정자산
투자부동산,고정자산
무형자산,고정자산
매입채무,구매
차입금,자금
사채,자금
미지급금,자금
당기법인세부채,재무보고
선수금,재무보고
예수금,재무보고
미지급비용,재무보고
충당부채,재무보고
기타부채,재무보고
가수금,재무보고
선수수익,재무보고
파생상품부채,자금
순확정급여부채,인사
종업원급여부채,인사
금융보증부채,자금
자본금,재무보고
자본잉여금,재무보고
이익잉여금,재무보고
기타포괄손익누계액,재무보고
자본조정,재무보고
기타비유동부채,재무보고
기타비유동금융부채,재무보고
이연법인세자산/부채,재무보고
당기순이익,재무보고
판관비,재무보고
매출총이익,재무보고
법인세비용차감전이익,재무보고
영업외손익,재무보고
금융비용,자금
금융수익,자금
대손충당금,
감가상각누계액,
손상차손누계액,
현재가치할인차금,
