detailname,bspl,resultname,middlecategory,largecategory
제품매출-국내,PL,매출,손익,손익
제품매출-로칼,PL,매출,손익,손익
제품매출-직수,PL,매출,손익,손익
제품매출-에누리-금액,PL,매출,손익,손익
제품매출-장려금,PL,매출,손익,손익
제품매출-반품충당금,PL,매출,손익,손익
제품매출-물류,PL,매출,손익,손익
제품매출-판촉비,PL,매출,손익,손익
제품매출-광고선전비,PL,매출,손익,손익
제품매출-패널티,PL,매출,손익,손익
제품매출-마일리지,PL,매출,손익,손익
제품매출-운반/보헙,PL,매출,손익,손익
제품매출-정보이용료,PL,매출,손익,손익
매출액-제품,PL,매출,손익,손익
매출액-반품,PL,매출,손익,손익
매출액-반품추정,PL,매출,손익,손익
매출액-에누리,PL,매출,손익,손익
매출액-매출할인,PL,매출,손익,손익
매출액-판매장려금,PL,매출,손익,손익
매출액-판가보전,PL,매출,손익,손익
상품매출-국내,PL,매출,손익,손익
상품매출-로칼,PL,매출,손익,손익
상품매출-직수,PL,매출,손익,손익
상품매출-중개,PL,매출,손익,손익
상품매출-에누리-금액,PL,매출,손익,손익
매출액-상품,PL,매출,손익,손익
매출액-부산물,PL,매출,손익,손익
매출액-반제품,PL,매출,손익,손익
매출액-원자재,PL,매출,손익,손익
매출액-저장품,PL,매출,손익,손익
매출액-로열티,PL,매출,손익,손익
매출액-기타,PL,매출,손익,손익
매출액-임대료,PL,매출,손익,손익
매출액-유상사급,PL,매출,손익,손익
매출액-순액매출조정,PL,매출,손익,손익
매출액-선물환,PL,매출,손익,손익
매출액-수탁,PL,매출,손익,손익
매출액-원료,PL,매출,손익,손익
용역매출-물류대행-수작업,PL,매출,손익,손익
용역매출-온라인-수작업,PL,매출,손익,손익
용역매출-운반/보험,PL,매출,손익,손익
매출액-Service,PL,매출,손익,손익
매출액-Service공사(에스원Only),PL,매출,손익,손익
매출액-Agency,PL,매출,손익,손익
매출액-물류,PL,매출,손익,손익
매출액-R&D용역,PL,매출,손익,손익
매출액-임가공,PL,매출,손익,손익
매출액-기타용역,PL,매출,손익,손익
매출액-A/S,PL,매출,손익,손익
매출액-진행기준-용역,PL,매출,손익,손익
매출액-도급공사-인정,PL,매출,손익,손익
매출액-도급공사-미인정,PL,매출,손익,손익
매출액-도급공사-Unbilled,PL,매출,손익,손익
매출액-분양공사,PL,매출,손익,손익
임가공매출-용역,PL,매출,손익,손익
매출원가-제품,PL,매출원가,손익,손익
직접원재료비,PL,매출원가,손익,손익
간접원재료비,PL,매출원가,손익,손익
직접부재료비,PL,매출원가,손익,손익
간접부재료비,PL,매출원가,손익,손익
제조급여,PL,매출원가,손익,손익
제조임원급여,PL,매출원가,손익,손익
제조상여금,PL,매출원가,손익,손익
제조제수당,PL,매출원가,손익,손익
제조잡급,PL,매출원가,손익,손익
제조퇴직급여,PL,매출원가,손익,손익
제조복리후생비-의료보험,PL,매출원가,손익,손익
제조복리후생비-고용보험,PL,매출원가,손익,손익
제조복리후생비-산재보험,PL,매출원가,손익,손익
제조복리후생비-건강관리실유지,PL,매출원가,손익,손익
제조복리후생비-건강진단,PL,매출원가,손익,손익
제조복리후생비-공상치료비,PL,매출원가,손익,손익
제조복리후생비-선물대,PL,매출원가,손익,손익
제조복리후생비-식당운영비,PL,매출원가,손익,손익
제조복리후생비-회식비,PL,매출원가,손익,손익
제조복리후생비-학자금,PL,매출원가,손익,손익
제조복리후생비-종업원시상금,PL,매출원가,손익,손익
제조복리후생비-통근버스운행비,PL,매출원가,손익,손익
제조복리후생비-동호회보조비,PL,매출원가,손익,손익
제조복리후생비-피복비,PL,매출원가,손익,손익
제조복리후생비-업무수행비,PL,매출원가,손익,손익
제조복리후생비-회의비,PL,매출원가,손익,손익
제조복리후생비-보조금,PL,매출원가,손익,손익
제조복리후생비-경조사비,PL,매출원가,손익,손익
제조복리후생비-기타,PL,매출원가,손익,손익
제조복리후생비-국민연금,PL,매출원가,손익,손익
제조복리후생비-장애인고용부담금,PL,매출원가,손익,손익
제조복리후생비-자판기마감대,PL,매출원가,손익,손익
제조복리후생비-기숙사관리비용,PL,매출원가,손익,손익
제조복리후생비-화환대,PL,매출원가,손익,손익
