종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3785","-20","-0.53","3820","3855","3765","254421","965873235","175137676705","46271513"
"095570","AJ네트웍스","KOSPI",,"5900","-320","-5.14","6220","6230","5840","2282196","12976871218","276251540500","46822295"
"006840","AK홀딩스","KOSPI",,"27250","-350","-1.27","27600","27600","27100","8271","225647000","360996037250","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","18750","-300","-1.57","19350","19350","18550","36132","680334000","382391643750","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","27700","-350","-1.25","28100","28100","27550","102613","2846782650","401102287900","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","15750","-500","-3.08","16100","16100","15700","86578","1377609050","237546288000","15082304"
"027410","BGF","KOSPI",,"6380","-30","-0.47","6420","6430","6310","93786","598637730","610673126580","95716791"
"282330","BGF리테일","KOSPI",,"183500","4000","2.23","179500","184000","178000","24281","4426895500","3171596751000","17283906"
"138930","BNK금융지주","KOSPI",,"7840","50","0.64","7740","7850","7740","587810","4587622980","2555332328640","325935246"
"001460","BYC","KOSPI",,"431000","5500","1.29","429500","437500","421500","286","122822500","269209065000","624615"
"001465","BYC우","KOSPI",,"172000","500","0.29","172000","172000","170500","250","42839500","37046220000","215385"
"013720","CBI","KOSDAQ","중견기업부","3595","100","2.86","3420","3640","3420","164495","587348180","182258501125","50697775"
"001040","CJ","KOSPI",,"105500","0","0.00","104500","106500","104000","69510","7326815000","3078173289000","29176998"
"079160","CJ CGV","KOSPI",,"31000","-300","-0.96","31300","31500","30900","213840","6676073350","1149614478000","37084338"
"035760","CJ ENM","KOSDAQ","우량기업부","149900","-2900","-1.90","152500","152600","149500","70039","10561446100","3287180184600","21929154"
"00104K","CJ4우(전환)","KOSPI",,"86500","-100","-0.12","86600","87000","85400","7089","613151100","365593288000","4226512"
"000120","CJ대한통운","KOSPI",,"171000","0","0.00","169500","171500","169500","19292","3289654500","3900910824000","22812344"
"011150","CJ씨푸드","KOSPI",,"4235","-25","-0.59","4290","4290","4235","90526","384841870","152166823655","35930773"
"011155","CJ씨푸드1우","KOSPI",,"39250","-50","-0.13","39400","39400","39050","30","1176750","7850000000","200000"
"001045","CJ우","KOSPI",,"63200","-100","-0.16","63500","63500","62800","794","50174900","142846093600","2260223"
"097950","CJ제일제당","KOSPI",,"439500","-3000","-0.68","440000","442500","439500","13741","6051479000","6616314747000","15054186"
"097955","CJ제일제당 우","KOSPI",,"200000","-1000","-0.50","201000","202000","200000","2424","486254000","265486600000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","35950","-750","-2.04","36550","36850","35650","51632","1861049500","426783516700","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4380","-105","-2.34","4495","4495","4380","710507","3135601265","608348028720","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3705","-90","-2.37","3795","3810","3695","98014","364554950","137826000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
