id,bspl,detailname,resultname,resultname_old
1,PL,제품매출-국내,매출,제품매출
2,PL,제품매출-로칼,매출,제품매출
3,PL,제품매출-직수,매출,제품매출
4,PL,제품매출-에누리-금액,매출,제품매출
5,PL,제품매출-장려금,매출,제품매출
6,PL,제품매출-반품충당금,매출,제품매출
7,PL,제품매출-물류,매출,제품매출
8,PL,제품매출-판촉비,매출,제품매출
9,PL,제품매출-광고선전비,매출,제품매출
10,PL,제품매출-패널티,매출,제품매출
11,PL,제품매출-마일리지,매출,제품매출
12,PL,제품매출-운반/보헙,매출,제품매출
13,PL,제품매출-정보이용료,매출,제품매출
14,PL,매출액-제품,매출,제품매출
15,PL,매출액-반품,매출,제품매출
16,PL,매출액-반품추정,매출,제품매출
17,PL,매출액-에누리,매출,제품매출
18,PL,매출액-매출할인,매출,제품매출
19,PL,매출액-판매장려금,매출,제품매출
20,PL,매출액-판가보전,매출,제품매출
21,PL,상품매출-국내,매출,상품매출
22,PL,상품매출-로칼,매출,상품매출
23,PL,상품매출-직수,매출,상품매출
24,PL,상품매출-중개,매출,상품매출
25,PL,상품매출-에누리-금액,매출,상품매출
26,PL,매출액-상품,매출,상품매출
27,PL,매출액-부산물,매출,기타매출
28,PL,매출액-반제품,매출,기타매출
29,PL,매출액-원자재,매출,기타매출
30,PL,매출액-저장품,매출,기타매출
31,PL,매출액-로열티,매출,기타매출
32,PL,매출액-기타,매출,기타매출
33,PL,매출액-임대료,매출,기타매출
34,PL,매출액-유상사급,매출,기타매출
35,PL,매출액-순액매출조정,매출,기타매출
36,PL,매출액-선물환,매출,기타매출
37,PL,매출액-수탁,매출,기타매출
38,PL,매출액-원료,매출,기타매출
39,PL,용역매출-물류대행-수작업,매출,용역매출
40,PL,용역매출-온라인-수작업,매출,용역매출
41,PL,용역매출-운반/보험,매출,용역매출
42,PL,매출액-Service,매출,용역매출
43,PL,매출액-Service공사(에스원Only),매출,용역매출
44,PL,매출액-Agency,매출,용역매출
45,PL,매출액-물류,매출,용역매출
46,PL,매출액-R&D용역,매출,용역매출
47,PL,매출액-임가공,매출,용역매출
48,PL,매출액-기타용역,매출,용역매출
49,PL,매출액-A/S,매출,용역매출
50,PL,매출액-진행기준-용역,매출,공사매출
51,PL,매출액-도급공사-인정,매출,공사매출
52,PL,매출액-도급공사-미인정,매출,공사매출
53,PL,매출액-도급공사-Unbilled,매출,공사매출
