"id","currentgrade","grade","grade1","grade2","grade3","person1","person2","person3","realteam","realturn","viewname","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","levelmanage_id","realgrade"
1,3,"0",미완성,승인대기중,완성,회계팀원,회계팀장,회계팀장,회계,"1",Scoping,"","","","","","","","","","","","",""
3,1,"0",미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장,"3",currentview,"","","","","","","","","","","","",""
4,1,"0",미완성,승인대기중,완성,전체,전체,전체,전체,"5",explanation1,"","","","","","","","","","","","",""
8,1,"1",미완성,승인대기중,완성,전체,전체,전체,전체,"1",basequestion,"","","","","","","","","","","","",""
9,1,"1",미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장,"2",currentview,"","","","","","","","","","","","",""
10,1,"1",미완성,승인대기중,완성,전체,전체,전체,전체,"3",explanation2,"","","","","","","","","","","","",""
11,1,"2",미완성,승인대기중,완성,전체,전체,전체,전체,"1",gojs_work,"","","","","","","","","","","","",""
12,1,"2",미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장,"2",currentview,"","","","","","","","","","","","",""
13,1,"2",미완성,승인대기중,완성,전체,전체,전체,전체,"3",explanation3,"","","","","","","","","","","","",""
14,1,"3",미완성,승인대기중,완성,전체,전체,전체,전체,"1",weakpoint,"","","","","","","","","","","","",""
15,1,"3",미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장,"2",currentview,"","","","","","","","","","","","",""
16,1,"3",미완성,승인대기중,완성,전체,전체,전체,전체,"3",explanation4,"","","","","","","","","","","","",""
17,1,"4",미완성,승인대기중,완성,전체,전체,전체,전체,"1",gojs9,"","","","","","","","","","","","",""
18,1,"4",미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장,"2",currentview,"","","","","","","","","","","","",""
19,1,"4",미완성,승인대기중,완성,전체,전체,전체,전체,"3",explanation5,"","","","","","","","","","","","",""
