id,name,yeartime
1,3S,2021
2,AJ네트웍스,2021
3,AK홀딩스,2021
4,APS홀딩스,2021
5,AP시스템,2021
6,AP위성,2021
7,BGF,2021
8,BGF리테일,2021
9,BNK금융지주,2021
10,BYC,2021
11,CBI,2021
12,CJ CGV,2021
13,CJ ENM,2021
14,CJ,2021
15,CJ대한통운,2021
16,CJ씨푸드,2021
17,CJ제일제당,2021
18,CJ프레시웨이,2021
19,CMG제약,2021
20,CNH,2021
21,CNT85,2021
22,CS,2021
23,CSA 코스믹,2021
24,CS홀딩스,2021
25,DB,2021
26,DB금융스팩8호,2021
27,DB금융스팩9호,2021
28,DB금융투자,2021
29,DB손해보험,2021
30,DB하이텍,2021
31,DGB금융지주,2021
32,DL,2021
33,DL건설,2021
34,DL이앤씨,2021
35,DN오토모티브,2021
36,DRB동일,2021
37,DSC인베스트먼트,2021
38,DSR,2021
39,DSR제강,2021
40,E1,2021
41,EDGC,2021
42,EG,2021
43,EMB,2021
44,ESR켄달스퀘어리츠,2021
45,ES큐브,2021
46,EV수성,2021
47,F&F,2021
48,FSN,2021
49,GH신소재,2021
50,GKL,2021
51,GS,2021
52,GST,2021
53,GS건설,2021
54,GS글로벌,2021
55,GS리테일,2021
56,HB솔루션,2021
57,HB테크놀러지,2021
58,HDC,2021
59,HDC랩스,2021
60,HDC현대EP,2021
61,HDC현대산업개발,2021
62,HD현대,2021
63,HJ중공업,2021
64,HK이노엔,2021
65,HLB,2021
66,HLB사이언스,2021
67,HLB생명과학,2021
68,HLB제약,2021
69,HLB테라퓨틱스,2021
70,HMM,2021
71,HRS,2021
72,HSD엔진,2021
73,IBKS제12호스팩,2021
74,IBKS제13호스팩,2021
75,IBKS제16호스팩,2021
76,IBKS제17호스팩,2021
77,iMBC,2021
78,ISC,2021
79,ITX-AI,2021
80,JB금융지주,2021
81,JW생명과학,2021
82,JW신약,2021
83,JW중외제약,2021
84,JW홀딩스,2021
85,JYP Ent.,2021
86,KBG,2021
87,KBI메탈,2021
88,KB금융,2021
89,KB오토시스,2021
90,KCC,2021
91,KCC건설,2021
92,KCI,2021
93,KC그린홀딩스,2021
94,KC산업,2021
95,KC코트렐,2021
96,KEC,2021
97,KG ETS,2021
98,KG모빌리언스,2021
99,KG스틸,2021
100,KG이니시스,2021
101,KG케미칼,2021
102,KH 건설,2021
103,KH 전자,2021
104,KH 필룩스,2021
105,KH바텍,2021
106,KISCO홀딩스,2021
107,KNN,2021
108,KPX생명과학,2021
109,KPX케미칼,2021
110,KPX홀딩스,2021
111,KR모터스,2021
112,KSS해운,2021
113,KT,2021
114,KTcs,2021
115,KTis,2021
116,KT서브마린,2021
117,KX,2021
118,KX하이텍,2021
119,LF,2021
120,LG,2021
121,LG생활건강,2021
122,LG에너지솔루션,2021
123,LG유플러스,2021
124,LG이노텍,2021
125,LG전자,2021
126,LG헬로비전,2021
127,LG화학,2021
128,LIG넥스원,2021
129,LS,2021
130,LS네트웍스,2021
