"id","name","parentname","percent","realname","val"
1,상해삼에스공조기술유한공사,"3S",100.0,상해삼에스공조기술유한공사,428607000
2,삼에스머터리얼즈,"3S",43.13,주식회사 삼에스머터리얼즈,937808000
3,조인솔루션,"3S",21.53,주식회사조인솔루션,71527000
4,삼에스반도체재료소주유한공사,"3S",20.0,삼에스반도체재료소주유한공사,170460000
5,aj토탈,AJ네트웍스,100.0,AJ토탈,71460408000
6,aj에너지,AJ네트웍스,100.0,AJ에너지,17441219000
7,aj파크,AJ네트웍스,100.0,AJ파크,36709255000
8,aj캐피탈파트너스,AJ네트웍스,100.0,AJ캐피탈파트너스,26997763000
9,"ajrentalco,",AJ네트웍스,100.0,"AJ Rental Co., Ltd",7916588000
10,aj렌탈서비스,AJ네트웍스,100.0,AJ렌탈서비스,0.0
11,aj인터내셔널트레이더스,AJ네트웍스,100.0,AJ인터내셔널트레이더스,41190000
12,aj전시몰,AJ네트웍스,100.0,AJ전시몰,286713000
13,aj전국스카이,AJ네트웍스,100.0,AJ전국스카이,3793120000
14,ajrentalinc,AJ네트웍스,100.0,AJ Rental Inc.,65532879000
15,aj셀카,AJ네트웍스,77.79,AJ셀카,0.0
16,aj카리안서비스,AJ네트웍스,100.0,AJ카리안서비스,542136000
17,"ajnetworksvietnamco,ltd",AJ네트웍스,100.0,"AJ Networks Vietnam Co,Ltd.",0.0
18,월드렌트카,AJ네트웍스,100.0,월드렌트카,569144000
19,포시즌렌트카,AJ네트웍스,100.0,포시즌렌트카,0.0
20,ajnetworksamerica,AJ네트웍스,100.0,"AJ Networks America,Inc",12092839000
21,aj엠,AJ네트웍스,100.0,AJ 엠,10118975000
22,aj이앤에스,AJ네트웍스,100.0,AJ이앤에스,8171605000
23,류가형골프아카데미,AJ네트웍스,100.0,류가형골프아카데미,128880000
24,aj오토파킹시스템즈,AJ네트웍스,99.84,AJ오토파킹시스템즈,0.0
25,ajrentalarabia,AJ네트웍스,100.0,AJ RENTAL ARABIA,69046000
26,링크닷츠,AJ네트웍스,21.5,링크닷츠,234387000
27,차파트너스퍼블릭모빌리티제1호사모투자합자회사,AJ네트웍스,49.38,차파트너스 퍼블릭모빌리티 제1호 사모투자합자회사,6652170000
28,차파트너스퍼블릭모빌리티제2호사모투자합자회사,AJ네트웍스,49.38,차파트너스 퍼블릭모빌리티 제2호 사모투자합자회사,6159685000
29,차파트너스퍼블릭모빌리티제3호사모투자합자회사,AJ네트웍스,49.5,차파트너스 퍼블릭모빌리티 제3호 사모투자합자회사,8982687000
30,autogalleryholdings,AJ네트웍스,49.98,AUTO GALLERY HOLDINGS. INC,6660700000
31,"ajalmco,",AJ네트웍스,100.0,"AJ ALM.CO.,LTD",12421000
32,"carianjapanco,",AJ네트웍스,100.0,"CARIAN JAPAN CO.,LTD",0.0
33,"autogalleryholdings,inc",AJ네트웍스,50.07,"Auto Gallery Holdings, Inc.",6257039000
34,ajrentacarusainc,AJ네트웍스,100.0,AJ Rent A Car USA Inc.,345726000
35,디스커버리자산운용,AJ네트웍스,12.57,디스커버리자산운용,0.0
36,에이케이켐텍,AK홀딩스,81.4,에이케이켐텍,74166591000
37,에이케이에스앤디,AK홀딩스,76.7,에이케이에스앤디,139745408000
38,제주항공,AK홀딩스,53.5,제주항공,130006445000
39,애경유화,AK홀딩스,50.2,애경유화,92439440000
40,애경화학,AK홀딩스,100.0,애경화학,65361311000
41,에이엠플러스자산개발,AK홀딩스,57.1,에이엠플러스자산개발,44108257000
42,코닉오토메이션,APS홀딩스,54.4,코닉오토메이션,1573995000
43,에이피에스에이엠디,APS홀딩스,100.0,에이피에스에이엠디,30000000000
44,에이피에스머티리얼즈,APS홀딩스,100.0,에이피에스머티리얼즈 ,5349808000
45,디이엔티,APS홀딩스,24.7,디이엔티,12415565000
46,넥스틴,APS홀딩스,24.4,넥스틴,3765899000
47,제니스월드,APS홀딩스,42.9,제니스월드,8570000000
48,에이피시스템,APS홀딩스,20.9,에이피시스템 ,88113305000
49,apsvietnam,AP시스템,100.0,APS VIETNAM,636605000
50,apschinacorp,AP시스템,100.0,APS CHINA CORP,1357555000
51,비지에프네트웍스,BGF,100.0,비지에프네트웍스,39495000000
52,헬로네이처,BGF,50.1,헬로네이처,10280000000
53,비지에프에코바이오,BGF,83.33,비지에프에코바이오,25000000000
54,비지에프리테일,BGF,30.0,비지에프리테일,902163000000
55,동부로지스,BGF,30.0,동부로지스,1008000000
56,하이로지스,BGF,35.0,하이로지스,1326000000
57,화인로지텍,BGF,40.0,화인로지텍,1909000000
58,비지에프로지스,BGF리테일,100.0,비지에프로지스,39105000000
59,비지에프푸드,BGF리테일,100.0,비지에프푸드,19584000000
60,비지에프휴먼넷,BGF리테일,100.0,비지에프휴먼넷,3302000000
61,부산은행,BNK금융지주,100.0,부산은행,2968140154000
62,경남은행,BNK금융지주,100.0,경남은행,1949160438000
63,bnk캐피탈,BNK금융지주,100.0,BNK캐피탈,378488236000
64,bnk투자증권,BNK금융지주,100.0,BNK투자증권,584166758000
65,bnk저축은행,BNK금융지주,100.0,BNK저축은행,115000600000
