"id","name","yeartime"
1,AJ네트웍스,2020
2,AK홀딩스,2020
3,APS홀딩스,2020
4,AP시스템,2020
5,AP위성,2020
6,BGF,2020
7,BGF리테일,2020
8,BNK금융지주,2020
9,BYC,2020
10,CBI,2020
11,CJ CGV,2020
12,CJ ENM,2020
13,CJ,2020
14,CJ대한통운,2020
15,CJ씨푸드,2020
16,CJ제일제당,2020
17,CJ프레시웨이,2020
18,CMG제약,2020
19,CNH,2020
20,CNT85,2020
21,COWON,2020
22,CS,2020
23,CSA 코스믹,2020
24,CS홀딩스,2020
25,DB,2020
26,DB금융스팩8호,2020
27,DB금융스팩9호,2020
28,DB금융투자,2020
29,DB손해보험,2020
30,DB하이텍,2020
31,DGB금융지주,2020
32,DL,2020
33,DL건설,2020
34,DMS,2020
35,DRB동일,2020
36,DSC인베스트먼트,2020
37,DSR,2020
38,DSR제강,2020
39,E1,2020
40,EDGC,2020
41,EG,2020
42,EMW,2020
43,ES큐브,2020
44,GH신소재,2020
45,GKL,2020
46,GS,2020
47,GST,2020
48,GS건설,2020
49,GS글로벌,2020
50,GS리테일,2020
51,GV,2020
52,HB테크놀러지,2020
53,HDC,2020
54,HDC아이콘트롤스,2020
55,HDC현대EP,2020
56,HDC현대산업개발,2020
57,HMM,2020
58,HRS,2020
59,HSD엔진,2020
60,IBKS제12호스팩,2020
61,IBKS제13호스팩,2020
62,IBKS제14호스팩,2020
63,iMBC,2020
64,ISC,2020
65,ITX-AI,2020
66,JB금융지주,2020
67,JTC,2020
68,JW생명과학,2020
69,JW신약,2020
70,JW중외제약,2020
71,JW홀딩스,2020
72,JYP Ent.,2020
73,KBI메탈,2020
74,KB금융,2020
75,KB오토시스,2020
76,KCC건설,2020
77,KCI,2020
78,KC그린홀딩스,2020
79,KC코트렐,2020
80,KD,2020
81,KEC,2020
82,KG ETS,2020
83,KG동부제철,2020
84,KG모빌리언스,2020
85,KG이니시스,2020
86,KG케미칼,2020
87,KH E&T,2020
88,KH 일렉트론,2020
89,KH 필룩스,2020
90,KH바텍,2020
91,KISCO홀딩스,2020
92,KMH,2020
93,KMH하이텍,2020
94,KNN,2020
95,KPX생명과학,2020
96,KPX케미칼,2020
97,KPX홀딩스,2020
98,KR모터스,2020
99,KSS해운,2020
100,KT,2020
101,KTB투자증권,2020
102,KTcs,2020
103,KTis,2020
104,KT서브마린,2020
105,LF,2020
106,LG,2020
107,LG디스플레이,2020
108,LG생활건강,2020
109,LG유플러스,2020
110,LG이노텍,2020
111,LG전자,2020
112,LG헬로비전,2020
113,LG화학,2020
114,LIG넥스원,2020
115,LS,2020
116,LS네트웍스,2020
117,LS전선아시아,2020
118,LX세미콘,2020
119,LX인터내셔널,2020
120,LX하우시스,2020
121,MH에탄올,2020
122,NAVER,2020
123,NEW,2020
124,NE능률,2020
125,NHN벅스,2020
126,NHN한국사이버결제,2020
127,NH투자증권,2020
128,NICE,2020
129,NICE평가정보,2020
130,NI스틸,2020
131,OQP,2020
132,PI첨단소재,2020
133,PN풍년,2020
134,POSCO,2020
135,RFHIC,2020
136,RF머트리얼즈,2020
137,S&K폴리텍,2020
138,S-Oil,2020
139,SBI인베스트먼트,2020
140,SBS,2020
141,SBS미디어홀딩스,2020
142,SBS콘텐츠허브,2020
143,SCI평가정보,2020
144,SDN,2020
145,SFA반도체,2020
146,SG&G,2020
147,SG,2020
148,SGA,2020
149,SGA솔루션즈,2020
150,SGC에너지,2020
151,SGC이테크건설,2020
152,SG글로벌,2020
153,SG세계물산,2020
154,SH에너지화학,2020
155,SIMPAC,2020
156,SJM,2020
157,SK5호스팩,2020
158,SK6호스팩,2020
159,SKC,2020
160,SK가스,2020
161,SK네트웍스,2020
162,SK디스커버리,2020
163,SK디앤디,2020
164,SK렌터카,2020
165,SK머티리얼즈,2020
166,SK바이오사이언스,2020
167,SK이노베이션,2020
168,SK증권,2020
169,SK케미칼,2020
170,SK텔레콤,2020
171,SK하이닉스,2020
172,SM C&C,2020
173,SM Life Design,2020
174,SNT모티브,2020
175,SNT에너지,2020
176,SNT중공업,2020
177,SNT홀딩스,2020
178,SPC삼립,2020
179,STX,2020
180,STX엔진,2020
181,SUN&L,2020
182,SV인베스트먼트,2020
183,TCC스틸,2020
184,THE E&M,2020
185,THE MIDONG,2020
186,THQ,2020
187,TJ미디어,2020
188,TPC,2020
189,TS인베스트먼트,2020
190,TS트릴리온,2020
191,TYM,2020
192,UCI,2020
193,WI,2020
194,WISCOM,2020
195,YBM넷,2020
196,YG PLUS,2020
197,YTN,2020
198,YW,2020
199,가비아,2020
200,가온미디어,2020
201,가온전선,2020
202,감성코퍼레이션,2020
203,강남제비스코,2020
204,강스템바이오텍,2020
205,강원랜드,2020
206,갤럭시아머니트리,2020
207,갤럭시아에스엠,2020
208,게임빌,2020
209,경남스틸,2020
210,경남제약,2020
211,경남제약헬스케어,2020
212,경농,2020
213,경동나비엔,2020
214,경동도시가스,2020
215,경동인베스트,2020
216,경동제약,2020
217,경방,2020
218,경보제약,2020
219,경인양행,2020
220,경인전자,2020
221,경창산업,2020
222,계룡건설,2020
223,계양전기,2020
224,고려산업,2020
225,고려시멘트,2020
226,고려신용정보,2020
227,고려아연,2020
228,고려제강,2020
229,고려제약,2020
230,고바이오랩,2020
231,고영,2020
232,골드앤에스,2020
233,골드퍼시픽,2020
234,골든센츄리,2020
235,골프존,2020
236,골프존뉴딘홀딩스,2020
237,광동제약,2020
238,광명전기,2020
239,광전자,2020
240,광주신세계,2020
241,광진실업,2020
242,광진윈텍,2020
243,교보9호스팩,2020
244,교보증권,2020
245,교촌에프앤비,2020
246,구영테크,2020
247,국도화학,2020
248,국동,2020
249,국보디자인,2020
250,국순당,2020
251,국영지앤엠,2020
252,국일신동,2020
253,국일제지,2020
254,국전약품,2020
255,국제약품,2020
256,그리티,2020
257,그린케미칼,2020
258,그린플러스,2020
259,극동유화,2020
260,글로벌에스엠,2020
261,글로벌텍스프리,2020
262,글로본,2020
263,금강공업,2020
264,금강철강,2020
265,금양,2020
266,금호건설,2020
267,금호석유,2020
268,금호에이치티,2020
269,금호전기,2020
270,금호타이어,2020
271,금화피에스시,2020
272,기가레인,2020
273,기산텔레콤,2020
274,기신정기,2020
275,기아,2020
276,기업은행,2020
277,까뮤이앤씨,2020
278,까스텔바작,2020
279,깨끗한나라,2020
280,나노브릭,2020
281,나노스,2020
282,나노신소재,2020
283,나노씨엠에스,2020
284,나노엔텍,2020
285,나노캠텍,2020
286,나라엠앤디,2020
287,나무가,2020
288,나무기술,2020
289,나스미디어,2020
290,나우IB,2020
291,나이벡,2020
292,나이스디앤비,2020
293,나이스정보통신,2020
294,나인테크,2020
295,남광토건,2020
296,남선알미늄,2020
297,남양유업,2020
298,남해화학,2020
299,남화산업,2020
300,남화토건,2020
301,내츄럴엔도텍,2020
302,네오리진,2020
303,네오셈,2020
304,네오오토,2020
305,네오크레마,2020
306,네오티스,2020
307,네오팜,2020
308,네오펙트,2020
309,네온테크,2020
310,네이블,2020
311,네이처셀,2020
312,네패스,2020
313,네패스아크,2020
314,넥센,2020
315,넥센타이어,2020
316,넥스턴바이오,2020
317,넥스트BT,2020
318,넥스트사이언스,2020
319,넥스트아이,2020
320,넥스틴,2020
321,넥슨지티,2020
322,넵튠,2020
323,넷게임즈,2020
324,넷마블,2020
325,노랑풍선,2020
326,노루페인트,2020
327,노루홀딩스,2020
328,노바렉스,2020
329,노바텍,2020
330,노터스,2020
331,녹십자,2020
332,녹십자랩셀,2020
333,녹십자셀,2020
334,녹십자엠에스,2020
335,녹십자웰빙,2020
336,녹십자홀딩스,2020
337,녹원씨엔아이,2020
338,농심,2020
339,농심홀딩스,2020
340,농우바이오,2020
341,누리플랜,2020
342,누리플렉스,2020
343,뉴로스,2020
344,뉴보텍,2020
345,뉴인텍,2020
346,뉴지랩파마,2020
347,뉴트리,2020
348,뉴파워프라즈마,2020
349,뉴프렉스,2020
350,다나와,2020
351,다날,2020
352,다믈멀티미디어,2020
353,다산네트웍스,2020
354,다스코,2020
355,다우기술,2020
356,다우데이타,2020
357,다원시스,2020
358,대구백화점,2020
359,대덕전자,2020
360,대동금속,2020
361,대동기어,2020
362,대동스틸,2020
363,대동전자,2020
364,대륙제관,2020
365,대림제지,2020
366,대림통상,2020
367,대명소노시즌,2020
368,대모,2020
369,대보마그네틱,2020
370,대봉엘에스,2020
371,대상,2020
372,대상홀딩스,2020
373,대성미생물,2020
374,대성산업,2020
375,대성에너지,2020
376,대성엘텍,2020
377,대성창투,2020
378,대성파인텍,2020
379,대성홀딩스,2020
380,대신밸런스제7호스팩,2020
381,대신밸런스제8호스팩,2020
382,대신밸런스제9호스팩,2020
383,대신정보통신,2020
384,대신증권,2020
385,대아티아이,2020
386,대양금속,2020
387,대양전기공업,2020
388,대양제지,2020
389,대영포장,2020
390,대우건설,2020
391,대우부품,2020
392,대우조선해양,2020
393,대웅제약,2020
394,대원강업,2020
395,대원미디어,2020
396,대원전선,2020
397,대원제약,2020
398,대원화성,2020
399,대유에이텍,2020
400,대유에이피,2020
401,대유플러스,2020
402,대정화금,2020
403,대주산업,2020
404,대주전자재료,2020
405,대창단조,2020
406,대창스틸,2020
407,대한과학,2020
408,대한광통신,2020
409,대한그린파워,2020
410,대한뉴팜,2020
411,대한방직,2020
412,대한약품,2020
413,대한유화,2020
414,대한전선,2020
415,대한제강,2020
416,대한제당,2020
417,대한제분,2020
418,대한항공,2020
419,대한해운,2020
420,대한화섬,2020
421,대호에이엘,2020
422,대호특수강,2020
423,대화제약,2020
424,더네이쳐홀딩스,2020
425,더블유게임즈,2020
426,더블유에스아이,2020
427,더존비즈온,2020
428,덕산네오룩스,2020
429,덕산테코피아,2020
430,덕산하이메탈,2020
431,덕신하우징,2020
432,덕양산업,2020
433,덕우전자,2020
434,데브시스터즈,2020
435,데이타솔루션,2020
436,덱스터,2020
437,덴티스,2020
438,덴티움,2020
439,도이치모터스,2020
440,도화엔지니어링,2020
441,동구바이오제약,2020
442,동국S&C,2020
443,동국산업,2020
444,동국알앤에스,2020
445,동국제강,2020
446,동국제약,2020
447,동남합성,2020
448,동방선기,2020
449,동방아그로,2020
450,동부건설,2020
451,동성제약,2020
452,동성케미컬,2020
453,동성화인텍,2020
454,동신건설,2020
455,동아쏘시오홀딩스,2020
456,동아에스티,2020
457,동아엘텍,2020
458,동아지질,2020
459,동아타이어,2020
460,동아화성,2020
461,동양고속,2020
462,동양생명,2020
463,동양에스텍,2020
464,동양이엔피,2020
465,동양철관,2020
466,동양파일,2020
467,동양피스톤,2020
468,동우팜투테이블,2020
469,동운아나텍,2020
470,동원F&B,2020
471,동원개발,2020
472,동원금속,2020
473,동원산업,2020
474,동원수산,2020
475,동원시스템즈,2020
476,동일고무벨트,2020
477,동일금속,2020
478,동일기연,2020
479,동일산업,2020
480,동일제강,2020
481,동일철강,2020
482,동진쎄미켐,2020
483,동화기업,2020
484,동화약품,2020
485,두산,2020
486,두산밥캣,2020
487,두산인프라코어,2020
488,두산중공업,2020
489,두산퓨얼셀,2020
490,두올,2020
491,듀오백,2020
492,드래곤플라이,2020
493,드림시큐리티,2020
494,드림씨아이에스,2020
495,드림어스컴퍼니,2020
496,드림텍,2020
497,디바이스이엔지,2020
498,디스플레이텍,2020
499,디아이티,2020
500,디알젬,2020
501,디알텍,2020
502,디앤씨미디어,2020
503,디에스케이,2020
504,디에이치피코리아,2020
505,디에이테크놀로지,2020
506,디에이피,2020
507,디엔에이링크,2020
508,디엔에프,2020
509,디엠티,2020
510,디오,2020
511,디와이파워,2020
512,디와이피엔에프,2020
513,디이엔티,2020
514,디자인,2020
515,디젠스,2020
516,디지아이,2020
517,디지캡,2020
518,디지탈옵틱,2020
519,디지털대성,2020
520,디지틀조선,2020
521,디케이락,2020
522,디케이앤디,2020
523,디케이티,2020
524,디티알오토모티브,2020
525,디티앤씨,2020
526,디피씨,2020
527,딜리,2020
528,라닉스,2020
529,라온시큐어,2020
530,라온테크,2020
531,라온피플,2020
532,라이온켐텍,2020
533,라이트론,2020
534,라이프시맨틱스,2020
535,라파스,2020
536,락앤락,2020
537,램테크놀러지,2020
538,랩지노믹스,2020
539,레고켐바이오,2020
540,레드로버,2020
541,레드캡투어,2020
542,레몬,2020
543,레이,2020
544,레이언스,2020
545,레이크머티리얼즈,2020
546,레인보우로보틱스,2020
547,로보로보,2020
548,로보스타,2020
549,로보티즈,2020
550,로스웰,2020
551,로지시스,2020
552,로체시스템즈,2020
553,롯데관광개발,2020
554,롯데손해보험,2020
555,롯데쇼핑,2020
556,롯데정밀화학,2020
557,롯데정보통신,2020
558,롯데제과,2020
559,롯데지주,2020
560,롯데칠성,2020
561,롯데케미칼,2020
562,롯데푸드,2020
563,루멘스,2020
564,루트로닉,2020
565,룽투코리아,2020
566,리노공업,2020
567,리노스,2020
568,리더스 기술투자,2020
569,리더스코스메틱,2020
570,리드코프,2020
571,리메드,2020
572,릭스솔루션,2020
573,린드먼아시아,2020
574,링네트,2020
575,링크제니시스,2020
576,마니커,2020
577,마니커에프앤지,2020
578,마이더스AI,2020
579,마이크로디지탈,2020
580,마이크로컨텍솔,2020
581,마이크로프랜드,2020
582,마크로젠,2020
583,만도,2020
584,맘스터치,2020
585,매일유업,2020
586,매일홀딩스,2020
587,매직마이크로,2020
588,매커스,2020
589,맥스로텍,2020
590,머큐리,2020
591,멀티캠퍼스,2020
592,메가스터디,2020
593,메가스터디교육,2020
594,메가엠디,2020
595,메드팩토,2020
596,메디아나,2020
597,메디앙스,2020
598,메디콕스,2020
599,메디톡스,2020
600,메디포스트,2020
601,메디프론,2020
602,메리츠금융지주,2020
603,메리츠증권,2020
604,메리츠화재,2020
605,메이슨캐피탈,2020
606,메지온,2020
607,메카로,2020
608,메타랩스,2020
609,메타바이오메드,2020
610,멕아이씨에스,2020
611,멜파스,2020
612,명문제약,2020
613,명성티엔에스,2020
614,명신산업,2020
615,모나리자,2020
616,모나미,2020
617,모다이노칩,2020
618,모두투어,2020
619,모바일리더,2020
620,모바일어플라이언스,2020
621,모베이스,2020
622,모베이스전자,2020
623,모비릭스,2020
624,모비스,2020
625,모아텍,2020
626,모토닉,2020
627,모트렉스,2020
628,모헨즈,2020
629,무림P&P,2020
630,무림SP,2020
631,무림페이퍼,2020
632,무학,2020
633,문배철강,2020
634,미디어젠,2020
635,미래나노텍,2020
636,미래생명자원,2020
637,미래아이앤지,2020
638,미래에셋대우스팩 5호,2020
639,미래에셋대우스팩3호,2020
640,미래에셋벤처투자,2020
641,미래에셋생명,2020
642,미래에셋증권,2020
643,미래컴퍼니,2020
644,미래테크놀로지,2020
645,미스터블루,2020
646,미원상사,2020
