"id","name","realname","stockcount","stockvalue","totalvalue"
1,"3S","3S",46271513,3640.0,168428307320
2,AJ네트웍스,AJ네트웍스,46822295,6010.0,281401992950
3,AK홀딩스,AK홀딩스,13247561,27650.0,366295061650
4,APS홀딩스,APS홀딩스,20394221,19300.0,393608465300
5,AP시스템,AP시스템,14480227,28600.0,414134492200
6,BGF,BGF,95716791,6410.0,613544630310
7,BGF리테일,BGF리테일,17283906,178000.0,3076535268000
8,BNK금융지주,BNK금융지주,325935246,7880.0,2568369738480
9,BYC,BYC,624615.0,428500.0,267647527500
10,CJCGV,CJ CGV,37084338,31050.0,1151468694900
11,CJENM,CJ ENM,21929154,153900.0,3374896800600
12,CJ,CJ,29176998,104000.0,3034407792000
13,CJ대한통운,CJ대한통운,22812344,171000.0,3900910824000
14,CJ씨푸드,CJ씨푸드,35930773,4265.0,153244746845
15,CJ제일제당,CJ제일제당,15054186,444500.0,6691585677000
16,CJ프레시웨이,CJ프레시웨이,11871586,36900.0,438061523400
17,CMG제약,CMG제약,138892244,4520.0,627792942880
18,CNH,CNH,37200000,3660.0,136152000000
19,COWON,COWON,19720225,2860.0,56399843500
20,CS,CS,19411130,5300.0,102878989000
21,CSA코스믹,CSA 코스믹,37934114,1555.0,58987547270
22,CS홀딩스,CS홀딩스,1154482.0,65500.0,75618571000
23,DB,DB,201173933,1085.0,218273717305
24,DB금융투자,DB금융투자,42446389,6860.0,291182228540
25,DB하이텍,DB하이텍,44398588,61500.0,2730513162000
26,DGB금융지주,DGB금융지주,169145833,9200.0,1556141663600
27,DL,DL,20955884,72100.0,1510919236400
28,DL건설,DL건설,22053284,32550.0,717834394200
29,DMS,DMS,24573061,7910.0,194372912510
30,DRB동일,DRB동일,19930000,6550.0,130541500000
31,DSC인베스트먼트,DSC인베스트먼트,27811403,5470.0,152128374410
32,DSR,DSR,16000000,7540.0,120640000000
33,DSR제강,DSR제강,14400000,8040.0,115776000000
34,E1,E1,6860000.0,55000.0,377300000000
35,EDGC,EDGC,83688302,4140.0,346469570280
36,EG,EG,7657496.0,12650.0,96867324400
37,EMB,EMB,3624222.0,7420.0,26891727240
38,EMW,EMW,31784197,2780.0,88360067660
39,ESR켄달스퀘어리츠,ESR켄달스퀘어리츠,143259000,6630.0,949807170000
40,ES큐브,ES큐브,13564086,5050.0,68498634300
41,GH신소재,GH신소재,11000000,7090.0,77990000000
42,GKL,GKL,61855670,15950.0,986597936500
43,GS,GS,92915378,41950.0,3897800107100
44,GST,GST,9317745.0,29050.0,270680492250
45,GS건설,GS건설,85581490,45250.0,3872562422500
46,GS글로벌,GS글로벌,82533764,2810.0,231919876840
47,GS리테일,GS리테일,104717922,34300.0,3591824724600
48,GV,GV,86766187,240.0,20823884880
49,HB테크놀러지,HB테크놀러지,78990426,2910.0,229862139660
50,HDC,HDC,59741721,11550.0,690016877550
51,HDC아이콘트롤스,HDC아이콘트롤스,16460000,12550.0,206573000000
52,HDC현대EP,HDC현대EP,31900000,5790.0,184701000000
53,HDC현대산업개발,HDC현대산업개발,65907330,29550.0,1947561601500
