"id","bspl","detailname","resultname","resultname_old"
403,PL,세금과공과-외국납부세액,세금과공과,
404,PL,세금과공과-면허세,세금과공과,
405,PL,세금과공과-자동차세,세금과공과,
406,PL,세금과공과-인지세,세금과공과,
407,PL,세금과공과-사업소세,세금과공과,
408,PL,세금과공과-환경부담금,세금과공과,
409,PL,세금과공과-대기/수질기본배출부과금,세금과공과,
410,PL,세금과공과-주민세,세금과공과,
411,PL,세금과공과-종합부동산세,세금과공과,
412,PL,세금과공과-장애인고용분담금,세금과공과,
413,PL,세금과공과-재산세,세금과공과,
414,PL,세금과공과-증권거래세,세금과공과,
415,PL,세금과공과-교통유발분담금,세금과공과,
416,PL,세금과공과-상공회의소회비,세금과공과,
417,PL,세금과공과-등록세,세금과공과,
418,PL,세금과공과-교육세,세금과공과,
419,PL,세금과공과-지역개발세,세금과공과,
420,PL,세금과공과-도로점용료,세금과공과,
421,PL,세금과공과-간주임대료,세금과공과,
422,PL,세금과공과-취득세,세금과공과,
423,PL,세금과공과-원인자부담금,세금과공과,
424,PL,세금과공과-농어촌특별세,세금과공과,
425,PL,세금과공과-공동시설세,세금과공과,
426,PL,세금과공과-관세,세금과공과,
427,PL,세금과공과-VAT공통매입세액안분액,세금과공과,
428,PL,세금과공과-기타,세금과공과,
429,PL,세금과공과-농특세,세금과공과,
430,PL,세금과공과-재산분주민세,세금과공과,
431,PL,세금과공과-지방소득세종업원분,세금과공과,
432,PL,세금과공과-균등분주민세,세금과공과,
433,PL,세금과공과-종합토지세,세금과공과,
434,PL,세금과공과-도시계획세,세금과공과,
435,PL,세금과공과-부가가치세,세금과공과,
436,PL,세금과공과-건물재산세(에버랜드Only),세금과공과,
437,PL,세금과공과-기타제세,세금과공과,
438,PL,세금과공과-공유수면사용료,세금과공과,
439,PL,세금과공과-폐기물부담금,세금과공과,
440,PL,세금과공과-도로공간점용료,세금과공과,
441,PL,세금과공과-교통유발부담금,세금과공과,
442,PL,세금과공과-환경개선부담금,세금과공과,
443,PL,세금과공과-저작료,세금과공과,
444,PL,세금과공과-벌과금등,세금과공과,
445,PL,세금과공과-제공과금,세금과공과,
446,PL,세금과공과-장애인미고용부담금,세금과공과,
447,PL,세금과공과-방홍세(China Only),세금과공과,
448,PL,세금과공과-하도관리비(China Only),세금과공과,
449,PL,세금과공과-공회비(China Only),세금과공과,
450,PL,세금과공과-영업세(China Only),세금과공과,
451,PL,세금과공과-제분담금,세금과공과,
452,PL,세금과공과-기타협회비,세금과공과,
453,PL,세금과공과-제회비,세금과공과,
454,PL,세금과공과-인지증지대,세금과공과,
455,PL,세금과공과-전력기금,세금과공과,
456,PL,세금과공과-국민연금,세금과공과,
457,PL,소모품비-저장품,소모품비,
458,PL,소모품비-사무용품,소모품비,
459,PL,소모품비-원자재성소모품,소모품비,
460,PL,소모품비-포자재성소모품,소모품비,
461,PL,소모품비-인쇄비,소모품비,
462,PL,소모품비-일반소모품,소모품비,
463,PL,소모품비-전산/통신소모용품,소모품비,
464,PL,소모품비-샘플비,소모품비,
465,PL,소모품비-시험연구,소모품비,
466,PL,소모품비-기계설비/부속소모품,소모품비,
467,PL,소모품비-생산현장소모품,소모품비,
468,PL,소모품비-복지시설/탕비실 소모품,소모품비,
469,PL,소모품비-사진현상/플랜카드,소모품비,
470,PL,소모품비-어음책대,소모품비,
471,PL,소모품비-매장소모품,소모품비,
472,PL,소모품비-매장소모품-자동,소모품비,
473,PL,소모품비-기타,소모품비,
474,PL,소모품비-후생용품,소모품비,
475,PL,소모품비-비품,소모품비,
476,PL,소모품비-개발용품,소모품비,
477,PL,소모품비-환경안전,소모품비,
478,PL,소모품비-생산용품,소모품비,
479,PL,소모품비-통신용품,소모품비,
