"id","control_owner","businesscode","companyname","controlcode","controlcode1","controlcode2","controlcode3","controlexplain","controlexplain1","controlexplain2","controlexplain3","controlname","controlname1","controlname2","controlname3","detailprocess","detailprocessname","exceptexplain","exceptitem","name","processcode","processexplain","processexplain1","processexplain1_after","processexplain2","processexplain2_after","processexplain3","processexplain3_after","processexplain4","processexplain4_after","processname","processname1","processname1_after","processname2","processname2_after","processname3","processname3_after","processname4","processname4_after","proofname","risk","riskcode","riskgrade","subprocess","subprocesscode","subprocessnumber","teamname","superpro","ControlOwner","superpro_id","mainprocess","dtype","productline","subprocesstype","currentgrade","person_charge","realgrade","personcharge","industry"
1,,FR,"","","","","","","재무팀 팀장은 매월 그룹웨어로 전달받은 결산일정이 사전에 정해진 것과 동일하고, 이번 결산에 무리 없이 진행 될 수 있는지 검토하고 승인한다.","","","",결산일정 승인,"","","","",재무팀 팀장은 그룹웨어를 통해 전달받은 결산일정이 사전에 정해진 것과 차이가 있거나 이번 결산에 무리가 발생할 수 있다고 판단될때 결산일정이 재작성 되도록 반려한다.,결산일정 반려,결산일정 작성,"","",재무팀 결산담당자는 사전에 결정되어 있는 결산일정(+몇일)을 그룹웨어를 통해 작성하여 재무팀 팀장에 전달한다.,재무팀 팀장은 승인된 결산일정을 메일을 통해 결산과 관련된 각 부서에 공지한다.,"","","","","","",재무보고,결산일정 작성,결산일정 공지,"","","","","","",결산일정,"","","",결산 및 보고 절차의 수립,FR-S01,"1",재무팀,1,재무팀장,,재무보고,BASIC,,,,,,,
2,,FR,"","","","","","",재무팀 팀장은 그룹웨어로 전달받은 계정과목등록 품의가 거래내용과 기업회계기준 및 회사 회계정책에 적합한지 검증하고 승인한다.,"","","",계정과목등록 품의 승인,"","","","",재무팀 팀장은 그룹웨어를 통해 전달받은 계정과목등록 품의상 거래내용이 기업회계기준 및 회사 회계정책에 적합하지 않을 경우 반려한다.,계정과목등록 품의 반려,계정과목 문의,"","",각 부서 회계처리담당자는 신규거래가 발생했을때 메일로 신규계정과목이 필요한지 재무팀 담당자에 문의한다.,재무팀 결산담당자는 승인된 계정과목등록 품의 내용에 따라 ERP에 등록한다.,재무팀 결산담당자는 신규계정과목 문의가 있거나 전표 검토 중 신규계정과목이 필요할때 거래내용을 검토하여 기업회계기준에 적합한 계정과목을 선정하여 그룹웨어로 계정과목등록 품의를 작성하여 재무팀장에 전달한다.,"","","","","",재무보고,계정과목 문의,계정과목등록,계정과목등록 품의 작성,"","","","","",계정과목등록 품의,"","","",계정과목관리 ,FR-S02,"1",재무팀,2,재무팀장,,재무보고,BASIC,,,,,,,
3,,FR,"","","","","","",재무팀 팀장은 그룹웨어로 전달받은 코스트센터 등록 및 변경 품의상 해당 부서의 코스트 센터가 기업회계기준에 적합한지 검증하고 승인한다.,"","","",코스트센터 등록 및 변경 품의 승인,"","","","",재무팀 팀장은 그룹웨어로 전달받은 코스트센터 등록 및 변경 품의상 해당 부서의 코스트 센터가 기업회계기준에 적합하지 않을 경우 반려한다.,코스트센터 등록 및 변경 반려,코스트센터 논의,"","",기획팀 및 재무팀 코스트센터담당자는 신규 사업 또는 조직 개편으로 코스트센터 생성 또는 변경이 필요할때 기업회계기준에 맞는 코스트센터를 논의한다. ,재무팀 코스트센터담당자는 승인된 코스트센터 등록 및 변경 품의 내용에 따라 등록한다.,재무팀 코스트센터담당자는 논의한 코스트센터가 기업회계기준에 적합한지 검토하여 그룹웨어를 통해 코스트센터 등록 및 변경 품의를 작성하여 재무팀 팀장에게 전달한다.,"","","","","",재무보고,코스트센터 논의,코스트센터 등록,코스트센터 등록 및 변경 품의 작성,"","","","","",코스트센터 등록 및 변경 품의,"","","",계정과목관리 ,FR-S02,"2",재무팀,3,재무팀장,,재무보고,BASIC,,,,,,,
4,,HR,"","","","","","",^{담당자}^은 ^{인원운용계획}^에 따른 신규충원인원의 수를 바탕으로 신규 인원의 수요를 검토하여 금번 신규 모집 인원이 적정하게 산정되었는가를 검증한다.,"","","",채용계획의 검증,"","","","","","","","","",^{채용종류}^의 경우 ^{담당자2}^은 매년 말 필요인원을 집계한 뒤 그룹웨어를 통하여 ^{인사계획서}^를 작성하여 ^{팀}^에 전달한다. ,@{담당자}@은 @{인원운용계획}@에 따른 신규충원인원의 수를 바탕으로 계산한 신규 인원의 수요가 적정하게 산정되지 않았을 경우 @{담당자2}@에게 사유를 질의한다.,"","","","","","","",인사계획서 작성,부적절한 신규 인원 수요 산정 ,"","","","","","",인사계획서,"","","",채용 및 인사관리,"1","",@{팀}@,4,@{담당자}@,6,인사,BASIC,,,,,,,
6,,HR,"","","","","","",인사팀 인사담당자는 지원자가 이력서에 기재한 사항들에 대해 자격증사본 / 경력증명서 / 국민연금가입증명원 등의 증빙과 대사하여 하여 허위여부를 검증한다.,"","","",입사서류 검증,"","","","","","","","","",인사팀 인사담당자는 채용공고를 내거나 헤드헌터를 통해 지원자를 모집한다.,"인사팀 인사담당자는 지원자가 이력서에 기재한 사항들에 대해 증빙과 다르거나 진위여부가 확인되지 않을 경우, 지원자에게 사유를 질의한다.",현업 부서장들 및 인사팀 담당자는 채용공고 및 헤드헌터를 통하여 집계된 이력서들을 심사 및 면접대상자를 선정 후 면접을 진행하여 최종 합격자를 선발한다.,"","","","","","",지원자 모집,확인불가한 이력서 내용,최종 합격자 선발,"","","","","",신규입사자 입사제출서류,"","","",채용 및 인사관리,"1","",인사팀,6,인사팀장,7,인사,BASIC,,,,,,,
7,,HR,"","","","","","",해당 현업 부서장 및 대표이사는 신규입사자에 대하여 작성된 채용품의서가 인사규정에 부합하는지를 검증 및 승인한다.,"","","",채용품의서 승인,"","","","","","","","","",인사팀 인사담당자는 최종 합격자와 근로조건을 합의하여 그룹웨어 혹은 문서작성 프로그램 등으로 채용품의서를 작성한다.,해당 현업 부서장 및 대표이사는 신규입사자에 대하여 작성된 채용품의서가 인사규정에 부합하지 않을 경우 인사팀장에게 사유를 질의한다.,"","","","","","","",채용품의서 작성,인사규정에 부합하지 않는 채용품의서,"","","","","","",채용품의서,"","","",채용 및 인사관리,"1","",인사팀,7,"인사팀장, 대표이사",8,인사,BASIC,,,,,,,
8,,HR,"","","","","","","인사관리 DB에 대한 입력/변경/조회 권한은 인사팀 내에 한정된 인원만에게만 부여되어 있으며, 인사정보의 변경시에는 인사담당자가 변경된 인사정보가 시스템에 정확히 반영되었는지 검토한다.","","","",인사정보변경 접근제한,"","","","","","","","","","인사팀 인사담당자는 입사 당일 신규입사자에 대해 근로계약서를 작성하고 인사기록카드를 작성하며, 작성된 인사기록카드를 바탕으로 하여 회사의 인사정보시스템 DB에 신규입사자의 인사 정보를 입력한다.","인사관리 DB에 대한 입력/변경/조회 권한이 적정하지 않은 인원(인사담당자가 아니거나 인사팀 이외의 인원 등)에게 부여되어 있을 경우, 인사팀장은 인사관리 DB 권한 담당자에게 사유를 질의한다.","","","","","","","",인사정보 입력,부적정한 인사정보변경권한 부여,"","","","","","",인사정보DB 접근권한 list,"","","",채용 및 인사관리,"1","",인사팀,8,인사팀장,,인사,BASIC,,,,,,,
9,,HR,"","","","","","","해당 현업 부서장은 조기출근, 연장, 휴일근무 및 병가 등 근태변동사항에 대한 적정성을 검증하고 승인한다.","","","",근태변동사항 검증,"","","","","","","","","","해당 인원은 급여에 영향을 주는 근태변동사항 (조기출근, 연장, 휴일근무 및 병가 등)이 발생하면 관련된 그룹웨어 혹은 MS Office를 통하여 품의서를 작성한다.",해당 현업 부서장은 근태변동사항 품의서/신청서 상 기재된 근태변동사유 및 시간이 적정하지 않을 경우 해당 인원에게 사유를 질의한다.,"","","","","","","",근태사항 승인 신청,부적정한 근태변동사유,"","","","","","",근태변동사항 품의서/신청서,"","","",근태관리,"2","",각 현업팀,9,각 현업팀장,,인사,BASIC,,,,,,,
10,,HR,"","","","","","",인사팀장은 매월 작성된 인사정보변동내역을 수령하여 인원현황의 완전성 및 정확성을 검증한다.,"","","",인원현황 검증,"","","","","","","","","",인사팀 급여담당자는 매월 급여의 정확한 계산을 위해 MS office로 전월 인원현황과 신규입사자 및 퇴직자 목록을 바탕으로 인사정보변동내역을 작성한다.,인사팀장은 인사정보변동내역 상 기재된 인원이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",인사정보 변동내역 작성,부정확/불완전한 인사정보변동내역,"","","","","","",인사정보변동내역,"","","",급여관리,"3","",인사팀,10,인사팀장,11,인사,BASIC,,,,,,,
11,,HR,"","","","","","",인사팀장은 매월 작성된 급여지급내역의 완전성 및 정확성을 검증한다.,"","","",급여지급내역 검증,"","","","","","","","","",인사팀 급여담당자는 매월 급여관련 가감 사항을 각 현업팀/인사시스템을 통하여 모두 취합하여 총급여금액을 산출한다.,인사팀장은 급여지급내역 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,인사팀 담당자는 매월 작성된 총급여내역에 인사변동사항을 반영하여 급여지급내역을 작성한다.,"","","","","","",급여관련 가감 사항 취합 및 총급여금액 산출,부정확/불완전한 급여지급내역,급여지급내역 작성,"","","","","",급여지급내역,"","","",급여관리,"3","",인사팀,11,인사팀장,12,인사,BASIC,,,,,,,
