"id","bspl","cashamount","coalevel","coaname","materiality","quality1","quality2","quality3","quality4","quality5","quality6","realcoaname","process","currentgrade","person_charge"
250,PL,-47291706,,SMP매출,"",0,0,0,0,0,0,매출,매출,,
251,PL,7856000.0,,지급수수료(판),"",0,0,0,0,0,0,판관비,구매,,
252,BS,-594797.0,,미지급금,"",0,0,0,0,0,0,미지급금,구매,,
253,PL,592.0,,잡손실,"",0,0,0,0,0,0,기타영업외손익,재무보고,,
254,BS,0.0,,미수금,"",0,0,0,0,0,0,미수금,재무보고,,
255,BS,-10.0,,선납세금,"",0,0,0,0,0,0,재고자산,재고,,
256,BS,0.0,,미지급비용,"",0,0,0,0,0,0,미지급비용,재무보고,,
257,PL,29766666,,이자비용,"",0,0,0,0,0,0,기타영업외금융손익,자금,,
258,BS,0.0,,부가세대급금,"",0,0,0,0,0,0,미지급금,구매,,
259,PL,183000.0,,통신비(판),"",0,0,0,0,0,0,판관비,구매,,
260,BS,14540086,,보통예금,"",0,0,0,0,0,0,현금및현금성자산,자금,,
261,BS,0.0,,부가세예수금,"",0,0,0,0,0,0,예수금,재무보고,,
262,BS,-3431290.0,,예수금,"",0,0,0,0,0,0,예수금,재무보고,,
263,PL,-30123.0,,잡이익,"",0,0,0,0,0,0,기타영업외손익,재무보고,,
264,PL,0.0,,전력비(판),"",0,0,0,0,0,0,판관비,구매,,
265,BS,0.0,,선급금,"",0,0,0,0,0,0,선급금,재무보고,,
266,BS,918864.0,,미지급세금,"",0,0,0,0,0,0,미지급비용,재무보고,,
267,PL,100000.0,,세금과공과금(판),"",0,0,0,0,0,0,판관비,구매,,
268,PL,-34778.0,,이자수익,"",0,0,0,0,0,0,기타영업외금융손익,자금,,
269,PL,68681869,,전력매출원가,"",0,0,0,0,0,0,매출원가,재고,,
270,PL,0.0,,보험료(판),"",0,0,0,0,0,0,판관비,구매,,
271,PL,0.0,,지급임차료(판),"",0,0,0,0,0,0,지급임차료,구매,,
272,PL,0.0,,전기오류수정이익,"",0,0,0,0,0,0,기타영업외손익,재무보고,,
273,PL,0.0,,감가상각비(판),"",0,0,0,0,0,0,감가상각비,재무보고,,
274,BS,-49037083,,감가상각누계액,"",0,0,0,0,0,0,투자부동산,고정자산,,
275,BS,209241.0,,선급비용,"",0,0,0,0,0,0,선급비용,재무보고,,
