"id","accountdetail","accountnumber","cashamount","name"
1,회사설립,"100001",200000000,현금
2,회사설립,"100001",-200000000,자본금
3,현금유츨,"100002",-23162640,현금
4,자금 일부대여,"100002",23312310,장기대여금
5,대여금에 대한 이자 수익발생,"100002",-500000,이자수익
6,외화환산손실,"100002",350330,외화환산손실
7,건물 투자개시,"100002",100000000,건물
8,건물 투자개시,"100002",-100000000,현금
9,관계기업투자주식에 대한 투자,"100003",10000000,관계기업투자주식
10,관계기업투자주식에 대한 투자,"100003",-10000000,미지급금
11,대여금에 대한 이자 수익발생,"100004",-700000,이자수익
12,대여금에 대한 이자 수익발생,"100004",700000,미수이자
13,관계기업투자주식에 미지급금에 대한 지급,"100004",2200000,미지급금
14,관계기업투자주식에 미지급금에 대한 지급,"100004",-2200000,현금
15,제품 생산을 위한 원재료 매입,"100005",1000000,원재료
16,제품 생산을 위한 원재료 매입,"100005",-1000000,현금
17,직원 급여 지급,"100006",10000000,급여
18,직원 급여 지급,"100006",-10000000,현금
19,기타 잡이익 발생,"100007",-1300000,잡이익
20,기타 잡이익 발생,"100007",1300000,현금
21,지분법손익 발생,"100007",1200000,관계기업투자주식
22,지분법손익 발생,"100007",-1000000,지분법평가이익
23,지분법손익 발생,"100007",-200000,지분법자본변동
24,대여금에 대한 이자 수익발생,"100008",-700000,미수이자
25,대여금에 대한 이자 수익발생,"100008",700000,현금
26,관계기업투자주식 일부 처분,"100009",-1000000,관계기업투자주식
27,관계기업투자주식 일부 처분,"100009",1300000,현금
28,관계기업투자주식 일부 처분,"100009",-300000,관계기업투자주식처분이익
29,제품 생산을 위한 결산조정,"100010",6000000,재공품
30,제품 생산을 위한 결산조정,"100010",-1000000,원재료
31,제품 생산을 위한 결산조정,"100010",-5000000,급여
32,제품 생산을 위한 결산조정,"100011",5000000,제품
33,제품 생산을 위한 결산조정,"100011",-5000000,재공품
34,제품 매출 발생,"100012",-7000000,매출액
35,제품 매출 발생,"100012",5000000,현금
36,제품 매출 발생,"100012",2000000,매출채권
37,제품 매출 발생,"100012",-5000000,제품
38,제품 매출 발생,"100012",5000000,매출원가
39,자금 추가대여,"100013",1300000,장기대여금
40,자금 추가대여,"100013",-1300000,현금
41,관계기업투자주식 추가 투자,"100014",20000000,관계기업투자주식
42,투자를 위한 현금 지급,"100014",-10000000,현금
43,투자를 위한 차입,"100014",-70000000,차입금
44,건물 매입,"100014",60000000,건물
45,지분법손익 발생,"100014",3000000,관계기업투자주식
46,지분법손익 발생,"100014",-3000000,지분법평가이익
47,건물 감가상각,"100015",10000000,감가상가비
48,건물 감가상각,"100015",-10000000,감가상각누계액
49,건물 일부처분,"100015",-50000000,건물
50,건물 일부처분,"100015",5000000,감가상각누계액
51,건물 일부처분,"100015",55000000,미수금
52,건물 일부처분,"100015",-10000000,건물처분이익
