id,bspl,detailname,largecategory,list_sort,middlecategory,resultname
1,PL,제품매출-국내,손익,,손익,매출
2,PL,제품매출-로칼,손익,,손익,매출
3,PL,제품매출-직수,손익,,손익,매출
4,PL,제품매출-에누리-금액,손익,,손익,매출
5,PL,제품매출-장려금,손익,,손익,매출
6,PL,제품매출-반품충당금,손익,,손익,매출
7,PL,제품매출-물류,손익,,손익,매출
8,PL,제품매출-판촉비,손익,,손익,매출
9,PL,제품매출-광고선전비,손익,,손익,매출
10,PL,제품매출-패널티,손익,,손익,매출
11,PL,제품매출-마일리지,손익,,손익,매출
12,PL,제품매출-운반/보헙,손익,,손익,매출
13,PL,제품매출-정보이용료,손익,,손익,매출
14,PL,매출액-제품,손익,,손익,매출
15,PL,매출액-반품,손익,,손익,매출
16,PL,매출액-반품추정,손익,,손익,매출
17,PL,매출액-에누리,손익,,손익,매출
18,PL,매출액-매출할인,손익,,손익,매출
19,PL,매출액-판매장려금,손익,,손익,매출
20,PL,매출액-판가보전,손익,,손익,매출
21,PL,상품매출-국내,손익,,손익,매출
22,PL,상품매출-로칼,손익,,손익,매출
23,PL,상품매출-직수,손익,,손익,매출
24,PL,상품매출-중개,손익,,손익,매출
25,PL,상품매출-에누리-금액,손익,,손익,매출
26,PL,매출액-상품,손익,,손익,매출
27,PL,매출액-부산물,손익,,손익,매출
28,PL,매출액-반제품,손익,,손익,매출
29,PL,매출액-원자재,손익,,손익,매출
30,PL,매출액-저장품,손익,,손익,매출
31,PL,매출액-로열티,손익,,손익,매출
32,PL,매출액-기타,손익,,손익,매출
33,PL,매출액-임대료,손익,,손익,매출
34,PL,매출액-유상사급,손익,,손익,매출
35,PL,매출액-순액매출조정,손익,,손익,매출
36,PL,매출액-선물환,손익,,손익,매출
37,PL,매출액-수탁,손익,,손익,매출
38,PL,매출액-원료,손익,,손익,매출
39,PL,용역매출-물류대행-수작업,손익,,손익,매출
40,PL,용역매출-온라인-수작업,손익,,손익,매출
41,PL,용역매출-운반/보험,손익,,손익,매출
42,PL,매출액-Service,손익,,손익,매출
43,PL,매출액-Service공사(에스원Only),손익,,손익,매출
44,PL,매출액-Agency,손익,,손익,매출
45,PL,매출액-물류,손익,,손익,매출
46,PL,매출액-R&D용역,손익,,손익,매출
47,PL,매출액-임가공,손익,,손익,매출
48,PL,매출액-기타용역,손익,,손익,매출
49,PL,매출액-A/S,손익,,손익,매출
50,PL,매출액-진행기준-용역,손익,,손익,매출
51,PL,매출액-도급공사-인정,손익,,손익,매출
52,PL,매출액-도급공사-미인정,손익,,손익,매출
53,PL,매출액-도급공사-Unbilled,손익,,손익,매출
54,PL,매출액-분양공사,손익,,손익,매출
55,PL,임가공매출-용역,손익,,손익,매출
56,PL,매출원가-제품,손익,,손익,매출원가
57,PL,직접원재료비,손익,,손익,매출원가
58,PL,간접원재료비,손익,,손익,매출원가
59,PL,직접부재료비,손익,,손익,매출원가
60,PL,간접부재료비,손익,,손익,매출원가
61,PL,제조급여,손익,,손익,매출원가
62,PL,제조임원급여,손익,,손익,매출원가
63,PL,제조상여금,손익,,손익,매출원가
64,PL,제조제수당,손익,,손익,매출원가
65,PL,제조잡급,손익,,손익,매출원가
66,PL,제조퇴직급여,손익,,손익,매출원가
67,PL,제조복리후생비-의료보험,손익,,손익,매출원가
68,PL,제조복리후생비-고용보험,손익,,손익,매출원가
69,PL,제조복리후생비-산재보험,손익,,손익,매출원가
70,PL,제조복리후생비-건강관리실유지,손익,,손익,매출원가
71,PL,제조복리후생비-건강진단,손익,,손익,매출원가
72,PL,제조복리후생비-공상치료비,손익,,손익,매출원가
73,PL,제조복리후생비-선물대,손익,,손익,매출원가
74,PL,제조복리후생비-식당운영비,손익,,손익,매출원가
75,PL,제조복리후생비-회식비,손익,,손익,매출원가
76,PL,제조복리후생비-학자금,손익,,손익,매출원가
77,PL,제조복리후생비-종업원시상금,손익,,손익,매출원가
78,PL,제조복리후생비-통근버스운행비,손익,,손익,매출원가
79,PL,제조복리후생비-동호회보조비,손익,,손익,매출원가
80,PL,제조복리후생비-피복비,손익,,손익,매출원가
81,PL,제조복리후생비-업무수행비,손익,,손익,매출원가
82,PL,제조복리후생비-회의비,손익,,손익,매출원가
83,PL,제조복리후생비-보조금,손익,,손익,매출원가
84,PL,제조복리후생비-경조사비,손익,,손익,매출원가
85,PL,제조복리후생비-기타,손익,,손익,매출원가
86,PL,제조복리후생비-국민연금,손익,,손익,매출원가
87,PL,제조복리후생비-장애인고용부담금,손익,,손익,매출원가
88,PL,제조복리후생비-자판기마감대,손익,,손익,매출원가
89,PL,제조복리후생비-기숙사관리비용,손익,,손익,매출원가
90,PL,제조복리후생비-화환대,손익,,손익,매출원가
91,PL,제조복리후생비-식수대,손익,,손익,매출원가
92,PL,제조복리후생비-야유회비,손익,,손익,매출원가
93,PL,제조복리후생비-차량유지비,손익,,손익,매출원가
94,PL,제조복리후생비-예비군훈련비용,손익,,손익,매출원가
95,PL,제조복리후생비-건강보험,손익,,손익,매출원가
96,PL,제조복리후생비-노무관리비,손익,,손익,매출원가
97,PL,제조복리후생비-생일축하지원금,손익,,손익,매출원가
98,PL,제조복리후생비-조직활성화비,손익,,손익,매출원가
99,PL,제조복리후생비-피복세탁,손익,,손익,매출원가
100,PL,제조복리후생비-직무교류회,손익,,손익,매출원가
101,PL,제조외주가공비,손익,,손익,매출원가
102,PL,제조외주가공비(클레임),손익,,손익,매출원가
103,PL,제조외주가공비-재가공,손익,,손익,매출원가
104,PL,제조외주가공비-추가,손익,,손익,매출원가
105,PL,제조감가상각비-건물,손익,,손익,매출원가
106,PL,제조감가상각비-기계장치,손익,,손익,매출원가
107,PL,제조감가상각비-구축물,손익,,손익,매출원가
108,PL,제조감가상각비-차량운반구,손익,,손익,매출원가
109,PL,제조감가상각비-시설장치,손익,,손익,매출원가
110,PL,제조감가상각비-공구와기구,손익,,손익,매출원가
111,PL,제조감가상각비-임차개량자산,손익,,손익,매출원가
112,PL,제조수선비-기계장치수선비,손익,,손익,매출원가
113,PL,제조수선비-건물수선비,손익,,손익,매출원가
114,PL,제조수선비-기계장치수선비(일반),손익,,손익,매출원가
115,PL,제조수선비 - 시설장치,손익,,손익,매출원가
116,PL,제조세금과공과-제회비,손익,,손익,매출원가
117,PL,제조세금과공과-재산세,손익,,손익,매출원가
118,PL,제조세금과공과-사업소세,손익,,손익,매출원가
119,PL,제조세금과공과-주민세,손익,,손익,매출원가
120,PL,제조세금과공과-자동차세,손익,,손익,매출원가
121,PL,제조세금과공과-인지증지대,손익,,손익,매출원가
122,PL,제조세금과공과-전력기금,손익,,손익,매출원가
123,PL,제조세금과공과-기타,손익,,손익,매출원가
124,PL,제조세금과공과-국민연금,손익,,손익,매출원가
