"id","bspl","detailname","resultname"
1,cf,영업활동으로인한현금흐름,영업활동현금흐름
2,cf,투자활동으로인한현금흐름,투자활동현금흐름
3,cf,재무활동으로인한현금흐름,재무활동현금흐름
4,BS,유동자산,유동자산
5,BS,현금및현금성자산,현금성자산
6,BS,매출채권및기타채권,금융자산
7,BS,재고자산,재고자산
8,BS,선급공사원가,기타자산
9,BS,당기손익공정가치금융자산,금융자산
10,BS,당기법인세자산,기타자산
11,BS,기타유동자산,기타자산
12,BS,매각예정비유동자산,기타자산
13,BS,비유동자산,비유동자산
14,BS,장기성기타채권,금융자산
15,BS,장기금융상품,금융자산
16,BS,종속기업및관계기업투자,투자주식
17,BS,유형자산,유형자산
18,BS,사용권자산,유형자산
19,BS,투자부동산,유형자산
20,BS,무형자산,무형자산
21,BS,자산총계,자산총계
22,BS,유동부채,유동부채
23,BS,매입채무및기타채무,금융부채
24,BS,단기차입금,금융부채
25,BS,유동성장기부채,금융부채
26,BS,전환사채,금융부채
27,BS,리스부채,금융부채
28,BS,충당부채,충당부채
29,BS,기타유동부채,기타부채
30,BS,비유동부채,비유동부채
31,BS,확정급여부채,충당부채
32,BS,장기차입금,금융부채
33,BS,기타금융부채,금융부채
34,BS,부채총계,부채총계
35,BS,자본금,자본금
36,BS,기타불입자본,기타자본
37,BS,이익잉여금,이익잉여금
38,BS,자본총계,자본총계
39,BS,부채및자본총계,부채와자본총계
40,PL,매출액,매출액
41,PL,매출원가,매출원가
42,PL,매출총이익,매출총이익
43,PL,판매비,판관비
44,PL,관리비,판관비
45,PL,영업이익,영업손익
46,PL,금융수익,금융손익
47,PL,금융비용,금융손익
48,PL,기타영업외이익,영업외손익
49,PL,영업외순이익,영업외손익
50,PL,영업외순손실,영업외손익
51,PL,기타영업외비용,영업외손익
52,PL,법인세비용차감전순이익,세전이익
53,PL,법인세비용,법인세비용
54,PL,당기순이익,당기순이익
55,BS,기타포괄손익,기타자본
56,PL,당기포괄이익,총포괄손익
57,PL,기본및희석주당이익,제거
58,cf,영업활동현금흐름,영업활동현금흐름
59,cf,투자활동현금흐름,투자활동현금흐름
60,cf,재무활동현금흐름,재무활동현금흐름
61,BS,매출채권,금융자산
62,BS,당기손익공정가치측정금융자산,금융자산
63,BS,기타유동금융자산,금융자산
64,BS,기타포괄손익공정가치측정금융자산,금융자산
65,BS,종속기업투자,투자주식
66,BS,관계기업투자,투자주식
67,BS,렌탈자산,유형자산
68,BS,기타비유동금융자산,금융자산
69,BS,기타비유동자산,기타자산
70,BS,이연법인세자산,기타자산
71,BS,매입채무,금융부채
72,BS,유동성장기차입금,금융부채
73,BS,유동성사채,금융부채
74,BS,기타유동금융부채,금융부채
75,BS,당기법인세부채,기타부채
76,BS,유동리스부채,금융부채
77,BS,사채,금융부채
78,BS,기타비유동금융부채,금융부채
79,BS,기타비유동부채,기타부채
80,BS,비유동리스부채,금융부채
81,BS,자본잉여금,기타자본
82,BS,자본조정,기타자본
83,BS,기타자본,기타자본
84,BS,기타포괄손익누계액,기타자본
85,BS,자본과부채총계,부채와자본총계
86,PL,영업수익,매출액
87,PL,영업비용,매출원가
88,PL,기타수익,영업외손익
89,PL,기타비용,영업외손익
90,PL,종속기업및관계기업지분법손익,영업외손익
91,PL,매각예정비유동자산처분이익,영업외손익
92,PL,매각예정비유동자산손상차손,영업외손익
93,BS,기타포괄손익공정가치측정금융자산평가이익,기타자본
94,BS,부의지분법자본변동,기타자본
95,PL,총포괄손익,총포괄손익
96,PL,기본주당이익,제거
97,PL,희석주당이익,제거
98,BS,기타수취채권,금융자산
99,BS,기타장기수취채권,금융자산
100,BS,종속기업및관계기업투자자산,투자주식
101,BS,차입금,금융부채
102,BS,미지급금및기타채무,금융부채
103,BS,장기미지급금및기타채무,금융부채
104,BS,이연법인세부채,기타부채
105,PL,법인세차감전순이익,세전이익
106,BS,확정급여부채의재측정요소,기타포괄손익
107,PL,총포괄이익,총포괄손익
108,BS,금융기관예치금,현금성자산
109,BS,기타자산,기타자산
110,BS,매각예정자산,기타자산
111,BS,파생금융자산,금융자산
112,BS,기타지급채무,금융부채
113,BS,파생금융부채,금융부채
114,BS,교환사채,금융부채
115,BS,기타부채,기타부채
116,BS,순확정급여부채,충당부채
117,BS,납입자본,자본금
118,BS,보통주자본금,자본금
119,BS,우선주자본금,자본금
120,BS,보통주주식발행초과금,기타자본
121,BS,우선주주식발행초과금,기타자본
122,BS,부채와자본총계,부채와자본총계
123,PL,판매비와관리비,판관비
124,PL,금융수익유효이자율법에따른이자수익,금융손익
125,PL,금융수익기타,금융손익
126,PL,기본주당손익,제거
127,PL,희석주당손익,제거
128,BS,계약자산,기타자산
129,BS,계약부채,기타부채
130,BS,주식발행초과금,기타자본
131,BS,기타자본구성요소,기타자본
132,PL,대손상각비,위치파악1
133,PL,기타의대손상각비환입,위치파악1
134,PL,이자수익,금융손익
135,BS,순확정급여부채의재측정요소,기타포괄손익
136,PL,기본주당순이익,제거
137,PL,희석주당순이익,제거
138,BS,단기금융상품,금융자산
139,BS,기타금융자산,금융자산
140,PL,기타영업외수익,영업외손익
142,BS,당기손익인식금융자산,금융자산
143,BS,순확정급여자산,위치파악4
144,PL,금융수익유효이자율법으로계산한이자수익,금융손익
145,PL,금융원가,매출원가
146,BS,기타포괄손익공정가치금융자산,금융자산
147,PL,기타의대손상각비,위치파악1
148,BS,기타포괄손익공정가치측정금융자산공정가치변동,기타자본
149,BS,현금및예치금,현금성자산
150,BS,종속기업투자주식,투자주식
151,BS,대출채권및수취채권,금융자산
152,BS,신종자본증권,자본금
153,PL,순이자손익,금융손익
154,PL,이자비용,금융손익
155,PL,순수수료손익,매출액
156,PL,수수료수익,매출액
157,PL,수수료비용,판관비
158,PL,배당금수익,금융손익
159,PL,일반관리비,판관비
160,PL,영업외손익,영업외손익
161,PL,영업외수익,영업외손익
162,PL,영업외비용,영업외손익
164,PL,당기총포괄이익,총포괄손익
165,PL,기본및희석주당순이익,제거
166,BS,공정가치금융자산,금융자산
167,BS,금융보증부채,금융부채
168,BS,임대보증금,위치파악3
169,BS,이익준비금,이익잉여금
170,BS,임의적립금,이익잉여금
171,BS,미처분이익잉여금,이익잉여금
172,BS,기타자본잉여금,기타자본
173,BS,자기주식,기타자본
174,PL,물류비,판관비
175,BS,법인세비용차감후기타포괄손익,기타자본
176,BS,가기타포괄손익공정가치측정지분상품평가손익,기타자본
178,PL,보통주기본주당순이익,제거
179,PL,우선주기본주당순이익,제거
180,PL,보통주희석주당순이익,제거
181,PL,우선주희석주당순이익,제거
182,BS,유동성전환사채,금융부채
183,BS,유동성신주인수권부사채,금융부채
184,BS,유동충당부채,충당부채
185,BS,순확정급여채무,충당부채
186,BS,기타자본항목,기타자본
188,BS,기타포괄손익공정가치측정지분상품평가손익,기타자본
189,BS,기타의유동금융자산,금융자산
190,BS,기타의유동자산,기타자산
191,BS,미수법인세환급액,금융자산
192,BS,투자지분증권,금융자산
193,BS,종업원급여자산,충당부채
194,BS,기타의비유동금융자산,금융자산
195,BS,기타의비유동자산,기타자산
196,BS,미지급금,금융부채
197,BS,기타의유동금융부채,금융부채
198,BS,기타의유동부채,기타부채
199,BS,장기미지급금,금융부채
200,BS,종업원급여부채,충당부채
201,BS,기타의비유동금융부채,금융부채
202,BS,기타의비유동부채,기타부채
203,BS,결손금,이익잉여금
204,BS,기타의자본항목,기타자본
205,PL,영업손실,영업손익
206,PL,법인세비용차감전순손실,세전이익
207,PL,법인세수익,법인세비용
208,PL,당기순손실,당기순이익
209,BS,기타포괄손익공정가치측정금융자산평가손익,기타자본
210,PL,총포괄손실,총포괄손익
211,PL,기본주당순손실,제거
212,PL,희석주당순손실,제거
213,BS,선급금,기타자산
214,BS,매도가능금융자산,금융자산
215,BS,장기선급금,기타자산
216,BS,비유동충당부채,충당부채
217,PL,금융이익,금융손익
219,BS,단기금융자산,금융자산
220,BS,비유동금융자산,금융자산
221,BS,기타비유동채무,기타부채
222,PL,종속기업순손익에대한지분,기타포괄손익
223,BS,종속기업기타포괄손익에대한지분,기타자본
224,PL,기본주당손실,제거
225,PL,희석주당손실,제거
226,BS,유동장기사채,금융부채
227,BS,미지급법인세,금융부채
228,PL,기타순손익,영업외손익
