"id","control_owner","businesscode","companyname","controlcode","controlcode1","controlcode2","controlcode3","controlexplain","controlexplain1","controlexplain2","controlexplain3","controlname","controlname1","controlname2","controlname3","detailprocess","detailprocessname","exceptexplain","exceptitem","name","processcode","processexplain","processexplain1","processexplain1_after","processexplain2","processexplain2_after","processexplain3","processexplain3_after","processexplain4","processexplain4_after","processname","processname1","processname1_after","processname2","processname2_after","processname3","processname3_after","processname4","processname4_after","proofname","risk","riskcode","riskgrade","subprocess","subprocesscode","subprocessnumber","teamname","superpro","ControlOwner","superpro_id","mainprocess","dtype","productline","subprocesstype","currentgrade","person_charge","realgrade","personcharge","industry","processname5","processexplain5","processname6","processexplain6","controlcode4","controlcode5","controlcode6","controlcode7","controlexplain4","controlexplain5","controlexplain6","controlexplain7","controlname4","controlname5","controlname6","controlname7","controlplus1","controlplus2","controlplus3","controlplus4","controlplus5","controlplus6","controlplus7","processexplain7","processname7","processplus1","processplus2","processplus3","processplus4","processplus5","processplus6","processplus7","controlpluscount1","controlpluscount2","controlpluscount3","controlpluscount4","controlpluscount5","controlpluscount6","controlpluscount7","processpluscount1","processpluscount2","processpluscount3","processpluscount4","processpluscount5","processpluscount6","processpluscount7"
1,,HR,,,"1","","",,"^{팀2}^ ^{승인권자}^은 ^{주기}^ ^{인사_시스템}^로 전달받은 @{인사계획문서}@ 각 팀별 채용, 평가, 부서이동 및 퇴사 인원이 적절히 고려되어 작성되었는지 ^{통제}^한다.","","",,@{인사계획문서}@ ^{통제}^,"","","","","@{팀2}@ @{승인권자}@은 인사계획이 채용, 평가, 부서이동 및 퇴사 인원이 적절히 고려되어 계획되지 않았을 경우 @{팀1}@ @{담당자}@에게 재작성하도록 요청한다.",부적절한 인사계획,"","","","^{팀1}^ ^{담당자}^는 ^{주기}^ 각 팀별 필요 채용인원을 파악, 평가기준 업데이트, 부서이동 및 퇴사 인원을 고려하여 ^{인사_시스템}^를 통해 @{인사계획문서}@를 작성하고 ^{승인권자}^에게 전달한다. ","","","","",,"",,"",^{인사계획문서}^ 작성,"","","","",,"",,@{인사계획문서}@,"","","",채용 및 인사평가,인사계획,"1",@{팀2}@,,@{승인권자}@,,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,HR,,,"","","",,"","","",,"","","","","","","","","","","승인받은 인사계획은 채용, 평가, 부서이동 및 퇴사 프로세스로 진행된다.","","","","",,"",,"",프로세스 연결,"","","","",,"",,"","","","",채용 및 인사평가,인사계획,"1","",,"",,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,HR,,,"2","","",,^{팀2}^ ^{승인권자}^은 ^{채용주기}^ @{인사_시스템}@로 전달받은 @{채용요청서}@가 인사계획 및 인사규정에 따라 적절히 작성되었는지 ^{통제}^한다.,"","",,@{채용요청서}@ ^{통제}^,"","","","",@{팀2}@ @{승인권자}@은 @{채용요청서}@가 인사계획 및 인사규정에 따라 적정하게 작성되지 않았을 경우 @{팀1}@ @{담당자}@에게 재작성하도록 한다.,부적절한 채용요청서,"","","",^{팀1}^ ^{담당자}^는 인사계획에 따른 부서별 채용 인원 및 시기에 맞춰 ^{인사_시스템}^를 통해 @{채용요청서}@를 작성하고 ^{팀2}^ ^{승인권자}^에게 전달한다.,"","","","",,"",,"",^{채용요청서}^ 작성,"","","","",,"",,@{채용요청서}@,"","","",채용 및 인사평가,채용관리,"1",@{팀2}@,,@{승인권자}@,,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,HR,,,"","","",,"","","",,"","","","","","","","","","","^{팀1}^ ^{담당자}^는 @{채용요청서}@가 승인된 후 회사 홈페이지, 채용사이트에 공고하거나 해드헌터에 요청한다.","","^{팀1}^ ^{담당자}^는 인사규정에 따라 지원자를 선정하며, 이력서에 기재한 사항 허위여부 검증을 위해 자격증사본, 경력증명서, 국민연금가입증명원 등을 확인한다.","",^{팀1}^ ^{담당자}^는 채용공고 혹은 헤드헌터를 통하여 집계된 자원자들을 심사 및 면접대상자를 인사규정 및 절차에 따라 선정 후 면접을 진행하여 최종 입사자를 선발한다.,,"",,"",채용 공고 및 확정,"",채용 공고 및 확정,"",채용 공고 및 확정,,"",,"","","","",채용 및 인사평가,채용관리,"1","",,"",,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,HR,,,"3","","",,^{팀2}^ ^{승인권자}^은 ^{채용주기}^ @{인사_시스템}@로 신규입사자에 대하여 작성된 @{채용품의서}@가 인사규정 및 절차에 부합하는지를 ^{통제}^한다.,"","",,@{채용품의서}@ ^{통제}^,"","","","",@{팀2}@ @{승인권자}@은 @{채용품의서}@가 인사규정 및 절차에 부함하지 않을 경우 사유를 확인하고  @{팀1}@ @{담당자}@에게 재작성하도록 한다.,부적절한 채용품의서,"","","",^{팀1}^ ^{담당자}^는 ^{채용주기}^ 인사규정에 따라 @{채용품의서}@를 작성하고 ^{인사_시스템}^로 ^{팀2}^ ^{승인권자}^에 전달한다.,"","","","",,"",,"",^{채용품의서}^ 작성,"","","","",,"",,@{채용품의서}@,"","","",채용 및 인사평가,채용관리,"1",@{팀2}@,,@{승인권자}@,,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,HR,,,"","","",,"","","",,"","","","","","","","","","",^{팀1}^ ^{담당자}^는 최근 시장정보 및 법률에 따라 인사평가기준을 업데이트 하고 인사규정에 따라 승인을 받는다.,"","","","",,"",,"",인사평가기준 업데이트,"","","","",,"",,"","","","",채용 및 인사평가,인사평가,"1","",,"",,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,HR,,,"4","","",,^{팀2}^ ^{승인권자}^은 ^{주기}^ @{인사_시스템}@로 전달받은 @{임직원평가내역서}@가 인사평가기준에 따라 적절하게 작성되었는지 ^{통제}^한다.,"","",,임직원 평가내역 ^{통제}^,"","","","",@{팀2}@ @{승인권자}@은 @{임직원평가내역서}@가 인사평가기준에 따라 적절하게 작성되지 않았을 경우 사유를 확인하고 @{팀1}@ @{담당자}@에게 재작성하도록 한다.,부적절한 인사평가기준,"","","",^{팀1}^ ^{담당자}^는 ^{주기}^ 인사평가기준에 따라 ^{임직원평가내역서}^를 작성하여 ^{인사_시스템}^를 통해 ^{팀2}^ ^{승인권자}^에 전달한다.,"","","","",,"",,"",임직원 평가내역 작성,"","","","",,"",,@{임직원평가내역서}@,"","","",채용 및 인사평가,인사평가,"1",@{팀2}@,,@{승인권자}@,,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,HR,,,"","","",,"","","",,"","","","","","","","","","",각 팀 ^{담당자}^은 승급이 필요한 직원이 발생할때 ^{승급추천서}^를 작성하여 인사규정에 따라 승인을 받는다.,"","","","",,"",,"",^{승급추천서}^ 작성,"","","","",,"",,"","","","",채용 및 인사평가,인사평가,"1","",,"",,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,HR,,,"","","",,"","","",,"","","","","","","","","","",인사평가내역 및 승급추천서에 따라 승진자가 확정된다.,"","","","",,"",,"",승진자 확정,"","","","",,"",,"","","","",채용 및 인사평가,인사평가,"1","",,"",,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,HR,,,"5","","",,^{팀2}^ ^{승인권자}^은 ^{인사변경사항입력주기}^ @{인사_시스템}@로 전달받은 @{인사변경품의서}@가 인사규정에 따른 정당한 사유인지 ^{통제}^한다.,"","",,@{인사변경품의서}@ ^{통제}^,"","","","",@{팀2}@ @{승인권자}@은 @{인사변경품의서}@가 인사규정에 따른 정당한 사유가 아닐시 원인을 확인하고 @{팀1}@ @{담당자}@에게 재작성하도록 한다.,부적절한 인사변경품의서,"","","",^{팀1}^ ^{담당자}^는 인사변경사항이 발생할 때 인사규정에 따른 정당한 사유에 따라 ^{인사_시스템}^를 통해 ^{인사변경품의서}^를 작성한다.,"","","","",,"",,"",^{인사변경품의서}^ 작성,"","","","",,"",,@{인사변경품의서}@,"","","",채용 및 인사평가,인사평가,"1",@{팀2}@,,@{승인권자}@,,인사,basic,,,,,,,제조업,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
