bspl,detailname,resultname,resultname_old
PL,제품매출-국내,매출,제품매출
PL,제품매출-로칼,매출,제품매출
PL,제품매출-직수,매출,제품매출
PL,제품매출-에누리-금액,매출,제품매출
PL,제품매출-장려금,매출,제품매출
PL,제품매출-반품충당금,매출,제품매출
PL,제품매출-물류,매출,제품매출
PL,제품매출-판촉비,매출,제품매출
PL,제품매출-광고선전비,매출,제품매출
PL,제품매출-패널티,매출,제품매출
PL,제품매출-마일리지,매출,제품매출
PL,제품매출-운반/보헙,매출,제품매출
PL,제품매출-정보이용료,매출,제품매출
PL,매출액-제품,매출,제품매출
PL,매출액-반품,매출,제품매출
PL,매출액-반품추정,매출,제품매출
PL,매출액-에누리,매출,제품매출
PL,매출액-매출할인,매출,제품매출
PL,매출액-판매장려금,매출,제품매출
PL,매출액-판가보전,매출,제품매출
PL,상품매출-국내,매출,상품매출
PL,상품매출-로칼,매출,상품매출
PL,상품매출-직수,매출,상품매출
PL,상품매출-중개,매출,상품매출
PL,상품매출-에누리-금액,매출,상품매출
PL,매출액-상품,매출,상품매출
PL,매출액-부산물,매출,기타매출
PL,매출액-반제품,매출,기타매출
PL,매출액-원자재,매출,기타매출
PL,매출액-저장품,매출,기타매출
PL,매출액-로열티,매출,기타매출
PL,매출액-기타,매출,기타매출
PL,매출액-임대료,매출,기타매출
PL,매출액-유상사급,매출,기타매출
PL,매출액-순액매출조정,매출,기타매출
PL,매출액-선물환,매출,기타매출
PL,매출액-수탁,매출,기타매출
PL,매출액-원료,매출,기타매출
PL,용역매출-물류대행-수작업,매출,용역매출
PL,용역매출-온라인-수작업,매출,용역매출
PL,용역매출-운반/보험,매출,용역매출
PL,매출액-Service,매출,용역매출
PL,매출액-Service공사(에스원Only),매출,용역매출
PL,매출액-Agency,매출,용역매출
PL,매출액-물류,매출,용역매출
PL,매출액-R&D용역,매출,용역매출
PL,매출액-임가공,매출,용역매출
PL,매출액-기타용역,매출,용역매출
PL,매출액-A/S,매출,용역매출
PL,매출액-진행기준-용역,매출,공사매출
PL,매출액-도급공사-인정,매출,공사매출
PL,매출액-도급공사-미인정,매출,공사매출
PL,매출액-도급공사-Unbilled,매출,공사매출
PL,매출액-분양공사,매출,공사매출
PL,임가공매출-용역,매출,임가공매출
PL,매출원가-제품,매출원가,제품매출원가
PL,직접원재료비,매출원가,제품매출원가
PL,간접원재료비,매출원가,제품매출원가
PL,직접부재료비,매출원가,제품매출원가
PL,간접부재료비,매출원가,제품매출원가
PL,제조급여,매출원가,제품매출원가
PL,제조임원급여,매출원가,제품매출원가
PL,제조상여금,매출원가,제품매출원가
PL,제조제수당,매출원가,제품매출원가
PL,제조잡급,매출원가,제품매출원가
PL,제조퇴직급여,매출원가,제품매출원가
PL,제조복리후생비-의료보험,매출원가,제품매출원가
PL,제조복리후생비-고용보험,매출원가,제품매출원가
PL,제조복리후생비-산재보험,매출원가,제품매출원가
PL,제조복리후생비-건강관리실유지,매출원가,제품매출원가
PL,제조복리후생비-건강진단,매출원가,제품매출원가
PL,제조복리후생비-공상치료비,매출원가,제품매출원가
PL,제조복리후생비-선물대,매출원가,제품매출원가
PL,제조복리후생비-식당운영비,매출원가,제품매출원가
PL,제조복리후생비-회식비,매출원가,제품매출원가
PL,제조복리후생비-학자금,매출원가,제품매출원가
